"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53"
"1"," 4.055611e+01","-1.119006e+02","PACE","883","109","5865","4404","4977","4405","2903","3363","1399","1492","5402","1438","5663","4195","1439","639","4713","4081","4714","4947","5690","5691","778","1982","1491","4946","641","2258","1532","4518","4860","1531","3304","2648","5664","14","4844","4965","2524","1168","627","2943","5880","110","1958","420","5101","5956","4083","4080"
"2"," 4.053944e+01","-1.118967e+02","PACE","4404","639","883","5956","1438","5865","1399","109","4080","4965","3363","4195","5505","5690","5691","1982","4405","1","1491","4947","1439","4946","2943","4977","1168","4860","14","641","3304","1373","738","110","4713","1532","5101","5885","5664","4963","1531","5701","5880","2903","5503","4844","5663","4194","4518","4714","2599","5882"
"3"," 4.073972e+01","-1.118863e+02","PACE","4837","184","1907","4680","4790","1844","3266","828","2276","5461","5908","5943","329","5032","3745","557","342","2666","2995","311","3998","3855","822","2470","3841","5202","3422","5203","2061","3131","2651","4325","2428","825","1546","4383","4311","2752","2144","3711","4322","4381","2603","4340","2975","4017","1977","942","5554","2980"
"4"," 4.073972e+01","-1.118864e+02","PACE","1364","12","4619","2063","13","11","4940","8","5114","4959","5423","3582","1939","2059","4620","2581","2060","1363","6059","4517","850","4607","4608","5820","1686","260","5335","2757","2064","4700","4471","3585","5173","1757","723","2758","5421","2553","2813","4494","2065","4964","2058","2756","3750","2311","3584","1387","5025","906"
"5"," 4.122611e+01","-1.119694e+02","PACE","4273","4204","3596","5861","5849","5860","5679","1868","4234","4205","4203","5920","1869","1729","1866","1374","1867","4202","3798","5379","1092","4617","5324","5862","1634","6082","1728","1411","5356","3028","5325","3574","5326","3774","5323","438","4431","6071","439","437","4432","4540","5256","1690","1177","2225","5070","4927","4076","3665"
"6"," 3.948464e+01","-1.189036e+02","NV","369","1924","5716","2900","4615","4614","1620","5209","3504","2172","55","1883","2409","5098","5553","4665","5441","5207","370","2279","579","2286","5208","1486","6049","1877","3613","5206","5211","3505","3490","133","1072","50","4616","5551","1884","4664","5213","2285","1404","534","5205","4018","1619","2033","4416","49","5281","4663"
"7"," 3.529450e+01","-1.188540e+02","CA","3222","5034","2459","386","1969","5667","3147","3639","1968","3148","4893","4261","3637","385","2717","3558","4262","5033","2922","3638","3149","2458","3557","2716","2923","2715","2292","1166","2714","1034","5411","3117","5567","5030","1703","3924","3556","5564","4064","1165","5031","5028","5412","5566","1036","4738","5029","1167","2487","3223"
"8"," 4.076639e+01","-1.119019e+02","PACE","1939","1364","13","12","11","4619","4620","129","4494","5420","6057","5114","2553","3271","4959","3749","2065","5421","850","3937","2067","4471","2063","851","3586","5024","3582","5025","3728","2311","4940","4964","2581","778","6059","2066","4608","4083","3231","1122","5176","4607","6056","2756","3585","4700","5701","4979","5422","906"
"9"," 4.076639e+01","-1.119020e+02","PACE","11","12","1636","3585","4080","5423","13","1364","4619","2065","3586","2060","2063","3271","2249","2553","5402","4700","4517","4471","3937","3750","4607","1757","5699","1982","1758","5114","1387","4620","3595","851","3311","2064","3584","2758","2062","6059","2381","5701","640","5420","3749","3191","260","2059","2309","1939","5885","2311"
"10"," 3.814555e+01","-1.165930e+02","NV","3400","5599","4169","1016","2420","3246","3700","446","5593","3230","4582","5476","1229","5940","325","358","4482","384","1161","316","2262","315","3849","314","313","1547","3279","5238","3853","3854","3851","118","1548","1549","2729","3850","1379","466","1673","1672","2972","1380","737","6065","3784","3783","4183","286","5678","6066"
"11"," 4.076583e+01","-1.119049e+02","PACE","4494","4620","12","5422","4619","1387","4302","1939","4517","8","5421","5294","2758","2381","9","13","3585","2249","2581","6056","4940","3582","3311","3749","4538","4700","2757","2065","2060","6059","3586","5821","3380","723","1388","4471","2063","3728","1636","719","3880","3271","4495","5423","6057","2064","1364","2058","2973","5823"
"12"," 4.076583e+01","-1.119051e+02","PACE","2757","13","4607","11","4618","2059","1364","8","2756","4959","2311","4619","2063","4940","3582","2065","3750","4620","3728","3380","4495","5025","5423","4608","2381","5422","5420","2878","5114","4494","5024","4471","5421","1982","3584","4700","3586","5294","3311","5335","851","1122","2813","2064","4083","6058","5701","1387","2973","2060"
"13"," 4.075597e+01","-1.118873e+02","PACE","2311","5173","12","2064","4495","6057","4619","3380","2878","2581","8","4700","4494","3583","5423","3311","4620","2063","1636","1364","1122","2756","6056","5114","2758","5422","11","3586","2059","2553","4966","1388","4607","2973","1757","2065","2757","4964","6059","1939","2062","260","1686","4080","5335","2060","1387","5025","3958","3937"
"14"," 4.058861e+01","-1.119158e+02","PACE","1491","5664","1","110","1438","883","4947","5504","5505","5663","4404","1492","5865","4195","4405","4194","4977","1982","3304","109","1532","778","4518","4080","639","4713","5691","5880","4946","4081","4963","2943","2903","1171","5402","4843","3363","2599","5885","420","1439","2524","4317","5503","1958","2381","738","5665","5101","2806"
"15"," 3.361832e+01","-1.119277e+02","APS","4504","1427","1506","1430","4649","4650","1031","3019","663","1359","1463","22","1468","1361","1467","2288","228","3012","2637","5472","1608","1586","1424","665","1360","223","661","4645","1633","4651","1469","5469","1604","4502","1610","662","1356","1358","2639","16","2635","5470","4503","1357","1507","664","226","5473","4646","666"
"16"," 3.361832e+01","-1.119276e+02","APS","22","5472","228","1356","666","662","1633","1361","1360","17","223","1506","4645","668","4507","18","1465","21","3012","1507","1464","1430","661","121","5019","4652","1469","1423","4502","1468","1189","2288","5473","2639","3015","20","1031","3013","1354","2634","4503","664","227","225","4506","1425","224","3836","5470","19"
"17"," 3.361823e+01","-1.119276e+02","APS","5472","661","1427","2288","5470","16","4504","3015","4503","2289","1604","668","2636","21","1507","5473","1463","666","1359","1506","1564","4505","4507","22","4645","1426","662","1633","1430","1354","4650","222","1608","18","4649","3012","1429","4502","1424","2639","5475","20","1606","1631","4506","228","5469","3017","1352","1565"
"18"," 3.361816e+01","-1.119277e+02","APS","668","21","1031","16","5470","666","4648","4507","1354","4502","22","3012","17","5469","661","2788","1467","1632","662","4646","1633","1429","1604","4503","4651","1565","1356","663","5473","1425","1564","1353","2634","863","1606","5474","1610","1427","1506","664","2639","3017","1463","1609","667","4652","5472","797","1469","1507"
"19"," 3.361815e+01","-1.119278e+02","APS","4650","1465","4652","799","1611","5472","2634","223","1352","662","16","5475","1358","3012","4646","1631","4504","4645","228","663","226","224","2289","3019","17","5473","1792","1360","2636","1356","1353","1425","1506","1430","225","668","661","222","4647","5474","1426","227","2288","22","4502","863","5470","1359","1428","3015"
"20"," 3.361818e+01","-1.119279e+02","APS","1506","1468","3019","3014","661","1425","5472","4504","662","3012","1358","2288","664","1427","5473","1426","228","4646","224","1360","1356","3018","5469","223","4645","663","1355","668","1352","1465","4647","4650","16","3017","4651","3836","1031","1423","1507","4507","666","2639","1791","1608","5475","5223","1510","5474","17","2637"
"21"," 3.361824e+01","-1.119280e+02","APS","666","5474","5472","18","4502","17","4648","662","16","5469","1507","3012","4507","4503","2639","1360","1430","5473","664","1353","3014","1354","661","1467","5470","1470","224","1424","3015","1506","799","1425","4508","1426","3018","4652","227","1428","20","1464","2787","2288","1427","1355","4505","22","1633","2634","1359","1466"
"22"," 3.361833e+01","-1.119280e+02","APS","668","16","662","667","1430","4646","1424","4504","666","1354","5473","1470","4651","1361","2288","1031","1426","226","5474","3013","2637","5472","663","1423","1468","5475","4649","1469","2289","3019","225","17","228","1427","1565","2635","4502","5469","223","18","1465","1425","1356","4643","5470","5020","664","2636","1463","4648"
"23"," 3.730361e+01","-1.095481e+02","PACE","3540","4200","2401","46","47","1930","1929","1906","1910","1908","1904","1909","405","406","5843","5840","5842","5841","1985","5123","1957","1956","500","498","496","497","499","2857","2858","6033","4114","4113","6044","4112","4115","6043","1418","1416","1759","1417","5669","6042","5670","157","159","158","5157","5158","5156","208"
"24"," 4.536483e+01","-1.225979e+02","PGE","4307","2155","6069","5048","3611","5614","5479","5054","2742","6070","4449","2860","4007","3602","3981","2047","5615","2221","547","1066","5676","3025","375","5376","4996","2741","1495","2050","1236","5272","3354","2444","1816","5055","2867","1235","2561","2694","1080","5674","1233","1473","2046","185","1818","4637","4671","3317","593","1012"
"25"," 4.536483e+01","-1.225981e+02","PGE","547","4637","185","1471","4571","4996","3105","3981","3026","5050","5354","2221","5972","5675","1082","5049","2159","3980","2867","5360","4428","2742","4656","5615","2158","1890","397","5668","2191","1810","186","5054","2049","24","2155","2741","1236","4307","4448","3316","4446","3025","2814","2029","2561","5674","5048","1472","3355","79"
"26"," 3.450429e+01","-1.103339e+02","APS","27","5607","4869","4870","4868","4912","4913","5319","5317","5320","5318","4998","1735","1738","1737","5977","3599","1192","1194","1255","1256","1193","5365","1258","3918","1197","3917","1257","5366","4861","1195","5368","5367","3916","931","1196","940","1198","4999","4862","2797","4863","4997","6054","6055","589","588","3894","3206","5978"
"27"," 3.450429e+01","-1.103340e+02","APS","26","5607","4870","4869","4868","4913","4912","5319","5320","5317","5318","4998","1735","1737","1738","5977","3599","1192","1194","1193","1255","5365","1256","1197","1258","3917","5366","3918","4861","5368","3916","5367","1195","1257","1198","1196","4999","4862","931","940","4863","2797","4997","6054","589","6055","588","3894","3206","5978"
"28"," 3.763266e+01","-1.217857e+02","CA","294","2043","2932","2042","5749","2925","4696","2929","2930","5169","2926","5748","4695","1503","115","2931","5106","2927","2928","4944","5170","3022","4945","5529","810","1954","1953","5372","812","2382","5374","3023","2041","5371","2204","3925","5373","5656","2791","2402","3926","811","513","2749","879","820","359","360","3950","2811"
"29"," 4.085343e+01","-1.157993e+02","NV","2721","1225","2393","2924","2720","3676","2940","2969","1086","5329","3673","2777","5330","2968","1685","30","2230","2939","31","599","958","3675","957","2778","2942","1760","32","4833","3674","2941","3119","2493","2754","1145","1457","3284","5182","3350","1144","3697","600","2508","1136","5571","5181","3118","5196","1970","3213","549"
"30"," 4.085325e+01","-1.157993e+02","NV","2778","2924","599","32","1225","1685","3674","29","1145","3673","958","2720","2941","3675","5181","2940","2969","1086","1760","2721","31","2230","2942","3119","3676","5182","2393","2968","3284","5329","2777","1457","5330","4833","2939","2754","600","1144","3697","4438","1136","957","2508","5197","3350","4263","3118","2493","1223","4154"
"31"," 4.085325e+01","-1.157996e+02","NV","2940","2942","2721","29","2393","1685","1225","2777","599","2939","2969","2924","1145","5182","32","5181","2720","30","2968","5329","1086","2230","3676","2941","2778","3673","1760","3675","3697","5330","958","3118","3674","2754","1144","1136","487","4833","3284","3119","957","1457","4603","1454","600","4154","4265","5197","2652","2183"
"32"," 4.085343e+01","-1.157996e+02","NV","2721","2924","2393","30","5182","2940","2230","2968","5181","1145","1760","1086","3674","2720","2942","599","1685","2939","31","958","29","2754","2941","1225","1136","3675","2777","3284","3118","3697","4833","2778","4154","3119","487","2969","3673","1223","957","5329","747","1144","4603","5493","5330","4263","5463","3676","4438","1019"
"33"," 3.370887e+01","-1.121345e+02","APS","826","35","3434","34","37","38","5621","4633","5265","2129","878","1962","1047","36","5890","1641","3869","3198","1046","969","4923","964","3870","2681","1218","1045","6026","5268","4632","5264","6102","4636","3866","2142","2688","5616","6027","875","2569","2126","1638","966","1964","5976","2134","961","2145","3428","6099","1646"
"34"," 3.370887e+01","-1.121344e+02","APS","4923","5265","35","4633","38","5268","965","3434","961","4634","5266","962","826","1641","1638","964","1962","6029","3431","1218","829","1045","1046","3197","5621","969","1044","3198","2672","1219","1049","2687","824","3869","37","878","4636","6021","5976","2145","36","3866","6102","2137","1217","875","2671","3870","1048","3429"
"35"," 3.370880e+01","-1.121344e+02","APS","969","38","4923","4633","4636","37","962","34","3203","965","2617","968","1044","961","5268","4632","36","5266","4634","6021","4635","6102","5890","1046","826","1350","3434","3869","1045","6017","3197","3429","6018","963","3200","5269","3198","1638","1049","878","5623","1047","966","1048","1219","5263","6019","964","2612","5264"
"36"," 3.370880e+01","-1.121345e+02","APS","35","3434","4923","38","2145","1045","6102","968","969","826","34","878","1048","5266","5268","962","1219","4632","2575","1641","2674","3870","829","3198","2680","2564","3425","966","2679","4635","3197","3200","1960","6024","2134","833","5264","1964","6029","5616","831","2130","1638","2133","37","3871","4636","4633","2687","2126"
"37"," 3.370887e+01","-1.121346e+02","APS","35","4633","826","2681","4923","962","829","3434","964","34","4632","5268","1045","6099","4634","5621","3200","961","4635","5890","5976","968","969","4636","6017","3431","2140","878","2130","5269","1218","1638","1350","1641","2564","1645","2571","2575","966","6021","2685","1048","5264","38","1049","1046","3869","2688","2687","1962"
"38"," 3.370895e+01","-1.121345e+02","APS","35","4923","34","1046","3869","5269","969","826","3198","4633","4636","961","4635","1045","36","5268","1049","3434","1959","1048","3870","2684","968","6100","1044","2674","878","6102","2671","3200","1641","2564","1218","2685","5263","875","6015","3866","4632","1219","3443","3429","2681","1638","5265","3430","3873","6019","2571","6018"
"39"," 3.370895e+01","-1.121344e+02","APS","4923","38","5265","4633","35","968","878","34","5268","3870","964","3203","1959","1048","5269","1962","1045","5891","969","965","1963","3197","6099","2143","2681","875","2146","6100","5266","3428","2687","5622","826","1966","36","5890","1046","3434","2574","2565","2129","1350","5620","5264","3436","6021","5621","1044","1219","1638"
"40"," 3.774000e+01","-1.214800e+02","CA","3735","1113","3619","6113","4144","3522","5913","5914","2115","5310","5835","1112","538","3519","5915","4350","1435","277","275","4329","3521","4142","4330","3103","5916","4143","3063","1434","5834","3520","245","3234","5107","5304","4035","2274","977","1394","276","6094","2557","2275","4581","1432","2921","6048","1433","3062","2396","5949"
"41"," 4.186750e+01","-1.224641e+02","PACW","3216","2044","5682","6110","373","5046","95","4190","243","1244","5724","5801","4022","4787","521","447","2859","2496","597","3341","2005","2795","3811","408","533","4858","2263","2343","4875","715","6009","2028","2522","1057","848","3681","1705","3797","2156","3793","4148","1872","924","3384","2798","596","6072","858","4623","1174"
"42"," 4.243167e+01","-1.232981e+02","PACW","1499","5431","4595","2598","5088","3477","1803","5886","204","1487","2548","2088","788","3893","2905","1630","2170","4610","1629","2728","1090","5312","4263","380","1946","3399","2906","4852","2705","5934","3398","4328","1019","4021","1091","4463","1397","3696","3375","5595","1018","4310","1023","381","5887","1024","5596","4688","4166","5493"
"43"," 3.751000e+01","-1.218400e+02","CA","5490","2949","2950","3884","1345","5064","2914","1451","57","3352","1240","765","1452","1342","1343","2818","1239","3542","2951","1341","2915","5654","91","766","3934","3777","2897","92","1344","786","2948","3874","2917","3493","2413","2817","3382","3885","785","2816","1453","2916","4736","469","2819","4720","4420","3496","2412","3778"
"44"," 0.000000e+00"," 0.000000e+00","PACE","5443","1124","3553","352","2004","3552","2080","5075","2079","5074","2244","2239","2241","2243","2242","2240","2747","2748","2229","5994","5995","1945","5993","3365","3239","3240","3566","3565","4057","4054","4056","2550","4055","5321","956","5284","140","5285","6038","3947","3946","3949","3948","3966","2002","3965","3964","3125","2273","2272"
"45"," 3.404260e+01","-1.173627e+02","CA","4530","2187","527","4529","4047","2184","4046","2186","4531","4045","4049","4048","918","2185","3512","922","920","955","4935","921","2203","919","5442","1687","2211","2214","2213","2212","2210","2209","5521","5523","5522","2664","5776","5520","5775","2665","5524","5777","5706","5803","2486","5804","5704","5805","5702","5806","1839","1835"
"46"," 3.394438e+01","-1.131793e+02","APS","47","4200","2401","3540","23","1930","1929","1906","1910","1908","1904","1909","405","406","5843","5840","5842","5841","1957","1956","2857","2858","6033","4114","4113","6044","4112","4115","6043","1418","1416","1417","6042","157","159","158","5157","5158","5156","2092","2093","1286","1284","1285","4821","4820","4819","4822","2153","5965"
"47"," 3.394438e+01","-1.131794e+02","APS","46","4200","2401","3540","23","1930","1929","1906","1910","1908","1904","1909","405","406","5843","5840","5842","5841","1957","1956","2857","2858","6033","4114","4113","6044","4112","4115","6043","1418","1416","1417","6042","157","159","158","5157","5158","5156","2092","2093","1286","1284","1285","4821","4820","4819","4822","2153","5965"
"48"," 3.237124e+01","-1.128551e+02","APS","5770","4390","1351","4238","2236","2235","4392","2238","2237","5768","5769","4239","5767","4346","59","4345","815","817","4391","814","407","869","816","5262","2097","2095","2096","2094","2098","674","675","672","671","5447","670","673","2411","3174","3175","4361","4365","4364","4362","4363","4971","4972","4258","4970","4256","4973"
"49"," 3.949604e+01","-1.197895e+02","NV","760","55","2278","3613","534","1072","762","369","2164","2899","5211","4016","4615","5095","5206","2172","1922","5715","3129","2282","757","56","353","5098","5717","2279","3441","2173","1877","1486","1876","1485","5711","2284","3670","4614","133","5716","3489","759","5208","5177","2174","1620","4088","1347","5099","3864","576","2177"
"50"," 3.949604e+01","-1.197894e+02","NV","1619","5551","5096","756","5098","1269","5716","3613","760","4614","1512","5549","1618","1486","5964","2173","55","5283","1270","4663","1489","5555","2280","2285","2172","5209","353","5177","1485","4211","5099","56","369","5100","2899","1924","535","578","1613","3129","3440","534","1620","2164","4416","53","5711","5717","5205","1925"
"51"," 3.949595e+01","-1.197894e+02","NV","2286","759","1485","56","5549","5177","5716","1269","2037","5550","2177","1612","576","353","5212","605","5207","2171","5098","2176","2164","5209","55","4933","1923","2282","5099","5178","1072","1512","5097","1488","4089","4932","1270","4663","2173","606","1226","5211","5715","5713","3226","5100","4614","133","134","2172","760","5555"
"52"," 3.949589e+01","-1.197895e+02","NV","5555","760","2279","55","3613","1227","2174","2278","5177","53","5209","1489","4089","50","3437","1619","5096","133","3864","2164","4663","2031","1924","761","2165","2286","3670","3440","4665","4664","5098","576","4614","2037","1512","3825","5213","353","759","1269","1923","2282","5551","5100","1072","605","4933","603","2283","2173"
"53"," 3.949587e+01","-1.197896e+02","NV","760","5551","5095","2172","1226","5178","1619","4614","4665","2173","2174","1923","535","55","5549","5177","3670","5180","3613","2175","2286","4616","2037","2164","3499","5096","5553","5211","5281","5441","5212","4664","4416","2285","56","605","761","2031","575","2165","5210","50","5207","1488","755","5099","2287","369","756","5205"
"54"," 3.949590e+01","-1.197897e+02","NV","2899","353","579","5441","369","4663","2286","5098","1619","1883","5207","1512","4087","3613","2285","50","1620","760","2287","5713","3504","1878","1226","133","2284","3614","5096","53","761","5555","56","55","578","535","3440","534","3129","5205","1269","2278","1072","5209","5553","3441","5549","1884","4416","5551","2037","2841"
"55"," 3.949597e+01","-1.197898e+02","NV","1612","755","1619","579","5098","4663","1269","5095","760","5213","2287","5206","534","4665","5205","1486","5211","5177","2031","3669","4416","4664","5441","603","4615","2037","1227","2172","5551","5207","353","2286","5716","5555","2282","1923","1488","2278","2166","4614","5096","2173","49","5761","4980","5715","2177","576","5964","2899"
"56"," 3.949605e+01","-1.197898e+02","NV","4089","5715","3613","1619","5441","5717","4664","2284","5212","5716","1485","5211","4416","4088","760","4932","5713","5180","3864","5096","50","3670","5177","1269","53","133","4615","2287","5549","3441","1226","3129","353","1613","2164","535","5098","761","2171","5551","2286","1884","5207","5209","49","4665","4663","2282","2173","5213"
"57"," 3.665000e+01","-1.195400e+02","CA","2914","91","1240","3934","3352","5064","92","1635","785","1343","3884","5490","1345","1452","2950","2951","2949","2948","766","2819","2915","5898","2897","1342","1344","2919","1341","469","765","2818","2816","5935","2916","786","1451","3382","1239","43","3542","1453","2918","3885","2413","3874","2817","3777","3778","1340","3383","5654"
"58"," 4.695250e+01","-1.229164e+02","PSE","4590","2247","2011","2733","5446","3143","894","4905","6096","2539","5464","5290","1704","4235","5952","507","729","5585","4251","896","4313","3594","2298","3128","772","887","41","1705","3681","2416","728","299","1550","1378","2406","4424","5396","4941","4091","4396","892","610","3896","770","5348","1138","2248","1139","4015","3989"
"59"," 3.241806e+01","-1.128686e+02","APS","816","4346","4392","4238","2236","869","814","2235","4391","4390","817","4345","2237","4239","5767","407","5770","815","48","2238","5768","2094","1351","5769","2096","2095","2097","2098","5447","2411","5262","674","675","671","670","672","673","3174","4971","3175","4972","4970","4973","4440","4441","4361","4363","4364","4365","4362"
"60"," 3.377158e+01","-1.181006e+02","CA","853","855","3514","4443","74","2389","2640","2954","212","2955","4070","71","1446","67","3563","210","4465","2957","2386","2387","2958","66","64","4444","4856","4466","4442","2499","3039","3564","854","65","68","72","73","3038","211","4071","730","70","4468","2388","1254","3040","3840","69","1745","2956","5331","1447"
"61"," 3.377000e+01","-1.181000e+02","CA","210","853","74","3514","2957","72","2956","4443","68","212","4444","2386","2389","2954","3038","69","2387","3039","4442","855","211","71","2640","854","2958","3040","67","2499","1745","3563","73","63","2955","1254","64","4465","70","3564","65","4467","2388","1446","4466","66","4856","4070","4468","60","1447","1746"
"62"," 3.857592e+01","-1.214978e+02","CA","4005","1666","1661","1657","1662","1668","1664","1659","1660","1665","1667","1658","1663","1656","1655","1669","2226","5126","5125","5124","5127","3760","4451","4452","4455","4453","4454","5739","5735","5736","5738","5737","1215","2879","954","3810","2157","1764","172","3587","3548","3547","697","698","5527","107","106","5526","108","105"
"63"," 3.377158e+01","-1.181005e+02","CA","74","70","68","855","853","210","3563","72","3514","2386","2389","1745","64","1746","4444","3564","212","3038","66","71","1446","2955","2640","73","67","1254","854","3040","69","4465","2388","2499","2954","4442","4466","65","730","2958","4443","3039","2956","61","4468","2387","4856","4070","4467","174","2957","211"
"64"," 3.377149e+01","-1.181005e+02","CA","74","66","2640","2389","853","73","4442","68","72","855","212","70","1746","210","854","3564","4856","3563","2386","2954","2388","4465","2387","3040","71","67","4444","1446","3039","2955","3514","65","4466","4443","2957","730","4468","1254","3038","2956","63","1745","211","69","4467","4070","2958","174","60","2499"
"65"," 3.377143e+01","-1.181006e+02","CA","3514","4444","74","2389","853","3563","855","210","211","66","1446","68","71","4442","2954","3564","64","4465","2499","2386","3038","2955","3040","69","4443","72","730","4856","2957","174","212","4071","2640","854","2958","2387","73","2956","60","3039","70","1447","4070","3840","63","4466","4467","1254","67","1745"
"66"," 3.377142e+01","-1.181007e+02","CA","64","2387","1446","853","3514","855","74","2389","70","65","69","2386","3040","4442","68","212","72","3563","2640","210","730","3038","67","71","4465","3564","4467","211","2388","854","2956","1745","2954","63","4444","1254","60","73","2499","2957","3039","4466","1746","1447","2958","4443","4070","174","4856","2955"
"67"," 3.376598e+01","-1.181037e+02","CA","2640","855","3514","72","853","74","210","4442","212","1446","64","4444","4443","3040","2389","730","70","68","2386","73","66","2954","211","3038","2955","4466","3039","60","854","69","2499","4465","2957","3563","71","63","4856","1746","4070","2958","1745","2388","1254","2387","2956","4467","174","65","61","3564"
"68"," 3.377145e+01","-1.181008e+02","CA","74","64","853","2954","2389","4444","4442","2957","2499","72","71","210","1446","2386","65","2388","4465","855","70","3563","3514","66","3040","63","73","67","69","212","730","2955","3038","4466","1745","2387","2640","4443","3564","854","4856","1746","211","2958","4070","61","174","4468","4467","60","1254","1447"
"69"," 3.376590e+01","-1.181036e+02","CA","3514","2386","855","66","4443","2387","853","210","74","72","2955","71","212","70","4444","2389","68","2388","4442","3040","854","2640","1745","65","3563","2958","211","2499","4466","67","2954","3564","4465","4856","64","1446","730","73","2957","63","1254","61","3038","174","3039","1447","1746","4070","2956","3840"
"70"," 3.377151e+01","-1.181008e+02","CA","74","2386","2387","3563","3514","2954","64","2389","854","210","1446","4442","853","73","4444","66","212","4443","72","3039","68","855","63","3040","2388","4465","71","2499","69","730","67","2957","2958","4467","1745","4466","3038","2640","2955","4071","1746","1254","2956","211","4856","4070","4468","65","174","3840"
"71"," 3.376590e+01","-1.181037e+02","CA","74","2389","3563","72","855","2640","853","212","210","2387","68","4444","3564","3040","64","73","3514","2957","69","2388","65","4442","70","4465","4856","1254","4443","2386","66","2955","3039","2958","1745","4466","174","2954","854","60","1446","1746","4467","63","730","2499","2956","67","4070","3038","211","4468"
"72"," 3.377160e+01","-1.181009e+02","CA","74","853","67","64","855","71","3563","73","3514","4442","68","3039","210","211","212","2499","70","2640","2389","3040","69","3564","4856","2387","854","4465","66","4444","2955","2386","3038","730","63","1746","4443","2954","2388","65","4466","61","2957","2956","1446","3840","174","2958","1745","60","4468","4070"
"73"," 3.377169e+01","-1.181009e+02","CA","64","74","4443","72","70","4465","3514","853","855","71","730","3039","4442","3563","68","2954","67","2387","2640","4444","1254","210","854","2388","4468","2386","2499","2957","4856","2955","2958","212","1446","2389","4466","174","3040","69","63","2956","211","4467","3564","66","3038","65","3840","1746","60","4070"
"74"," 3.377177e+01","-1.181008e+02","CA","64","210","853","854","70","2640","4444","2386","4442","71","72","855","3040","68","212","3563","4443","2389","2387","73","3039","1446","4465","67","1254","2957","3514","65","2388","2954","730","63","66","1746","4856","4070","2955","3564","211","69","2499","4466","1745","61","60","3038","2956","2958","1447","174"
"75"," 4.553833e+01","-1.226780e+02","PACW","3402","3401","2559","76","4254","5733","303","4373","565","6091","4805","2536","3844","2718","1459","5054","2628","3611","2543","3247","2527","24","4366","559","4370","3403","4666","5350","4369","1796","6090","4297","1458","5349","3843","4375","376","4368","2529","5339","3907","4564","4797","5226","302","2871","2535","2160","5354","2528"
"76"," 4.553833e+01","-1.226781e+02","PACW","3401","3403","5225","2559","4254","3402","463","4841","4297","2529","490","75","4374","4797","79","6108","4006","4307","462","3612","4805","4375","547","2099","3843","5226","3026","4996","491","5436","376","1106","2579","2871","562","5057","1458","5006","4360","5817","2155","5054","5105","2627","4666","2694","5049","4842","6091","2535"
"77"," 4.556756e+01","-1.225576e+02","PACW","5005","5272","185","5054","4007","5674","2158","2544","479","1011","3025","4307","3603","3526","5006","80","5972","186","660","5048","1494","3604","2742","3612","2049","2561","24","4564","2221","5236","5354","1471","1818","2741","4657","2519","4449","1409","598","2860","2837","6069","5049","4996","4571","2444","1233","2579","4567","5237"
"78"," 4.556756e+01","-1.225577e+02","PACW","4996","5615","1236","2265","1495","5048","5236","1074","2099","4307","4671","2049","2159","5354","2867","1471","4564","430","5054","5049","3238","4027","3671","5121","2506","2158","5376","4637","1818","4360","1011","5676","4566","5272","2544","1817","5972","3316","1458","1890","1637","5053","2050","5674","3981","185","3105","5613","2814","2742"
"79"," 4.551612e+01","-1.226317e+02","PGE","1074","2158","2867","5051","4428","4307","3025","5614","5676","3526","4449","2742","4996","4802","547","5057","5436","4564","1011","1471","1473","1816","2814","409","5961","2506","5962","3355","5675","2861","5236","4446","2544","76","4995","1890","6070","4671","2159","479","5271","2444","4185","5121","4500","3905","1235","84","3105","4571"
"80"," 4.551612e+01","-1.226319e+02","PGE","4307","1011","2443","5354","2579","3981","4571","718","4996","5376","4306","5048","3316","1494","84","5972","2741","1080","1810","3401","2155","4449","1471","1818","5237","2029","5479","79","2049","2158","5974","5027","4671","2694","5054","2221","1473","3611","2861","185","397","1495","5052","5056","3104","1236","4007","1796","2051","3905"
"81"," 4.861306e+01","-1.223369e+02","PSE","1274","1927","2884","4592","3887","410","3211","542","5893","5013","3102","274","3212","4962","2384","4854","5787","1807","5892","3060","5012","4849","4798","3923","98","1780","1805","768","4545","1926","1025","2626","1928","544","5985","2385","191","4042","5661","5984","2667","2947","1870","3943","427","3846","2856","464","5159","148"
"82"," 3.799408e+01","-1.221303e+02","CA","695","748","6045","5796","4014","4719","3631","83","1324","2986","5709","694","6046","4429","3323","4809","125","696","2846","5795","124","4526","1741","3283","196","2847","2848","2985","1740","126","6047","749","5710","4685","746","3242","2845","1533","3322","1739","3630","1535","634","3321","3223","1534","2487","5564","3494","3244"
"83"," 3.799408e+01","-1.221304e+02","CA","4014","124","695","6046","126","6045","4429","3631","2848","2847","696","6047","1324","2986","748","2985","5796","82","1741","125","5795","2845","3283","4719","2846","694","746","4526","4809","5709","1740","5710","3321","196","1534","3630","3323","749","4685","3242","1533","3322","634","3494","745","1535","5567","3241","2487","3244"
